Field Name,Occurrence Count,Type
Jahr,353,Duplicate
Stadtraum,222,Duplicate
Stadtbezirk mit zugeordneten Ortschaften,216,Duplicate
Anzahl Einwohner,188,Duplicate
Stadtteil zus.,138,Duplicate
Kennziffer,131,Duplicate
2022,127,Duplicate
Merkmal_1,124,Duplicate
Merkmal_2,124,Duplicate
Merkmal_3,124,Duplicate
Merkmal_4,124,Duplicate
Einheit,124,Duplicate
2019,121,Duplicate
2021,119,Duplicate
2017,118,Duplicate
2015,115,Duplicate
2018,114,Duplicate
2020,114,Duplicate
2023,114,Duplicate
Geschlecht,110,Duplicate
2016,109,Duplicate
2013,104,Duplicate
2011,100,Duplicate
2014,100,Duplicate
2010,98,Duplicate
2012,97,Duplicate
2024,90,Duplicate
2009,85,Duplicate
2005,83,Duplicate
2008,83,Duplicate
2006,78,Duplicate
2007,78,Duplicate
Unnamed: 1,77,Duplicate
attributes.OBJECTID,76,Duplicate
Unnamed: 2,74,Duplicate
2003,72,Duplicate
2004,71,Duplicate
2002,68,Duplicate
2001,67,Duplicate
geometry.x,56,Duplicate
geometry.y,56,Duplicate
Unnamed: 3,55,Duplicate
Unnamed: 4,52,Duplicate
attributes.ID,51,Duplicate
Gebiet,50,Duplicate
Anzahl Haushalte,47,Duplicate
Sachmerkmal,46,Duplicate
Staatsangehörigkeit-1 Deutsche / Ausländer,38,Duplicate
Unnamed: 5,37,Duplicate
attributes.Stichtag,37,Duplicate
2000,36,Duplicate
Unnamed: 6,35,Duplicate
attributes.SHAPE__Length,33,Duplicate
geometry.rings,33,Duplicate
attributes.BRW,32,Duplicate
attributes.SHAPE__Area,32,Duplicate
id,31,Duplicate
Titel,30,Duplicate
Unnamed: 7,29,Duplicate
Kapitel,29,Duplicate
Wanderungsgebiet,28,Duplicate
Stadtbezirk/Ortschaft,28,Duplicate
attributes.Jahr,28,Duplicate
Fortzug / Zuzug,27,Duplicate
Wanderungstyp,27,Duplicate
Funktion,27,Duplicate
Geborene,25,Duplicate
Migrationshintergrund M2 (aggregiert),24,Duplicate
Datum,24,Duplicate
Anzahl,23,Duplicate
Kinderanzahl im Haushalt in Klassen (4),23,Duplicate
Kinderanzahl im Haushalt (sum),23,Duplicate
Quartal,22,Duplicate
datum,22,Duplicate
wahl,22,Duplicate
gebiet-name,22,Duplicate
