Found 1843 _metadata.json files

================================================================================
FIELD STATISTICS
================================================================================
Total fields (from all files): 13712
Total check (non-dup + sum of dup counts): 13712
Unique fields: 2711
Duplicate fields (out of unique): 1120
Non-duplicate fields (out of unique): 1591

================================================================================
DUPLICATE FIELDS (sorted by frequency)
================================================================================

 353x | Jahr
 222x | Stadtraum
 216x | Stadtbezirk mit zugeordneten Ortschaften
 188x | Anzahl Einwohner
 138x | Stadtteil zus.
 131x | Kennziffer
 127x | 2022
 124x | Merkmal_1
 124x | Merkmal_2
 124x | Merkmal_3
 124x | Merkmal_4
 124x | Einheit
 121x | 2019
 119x | 2021
 118x | 2017
 115x | 2015
 114x | 2018
 114x | 2020
 114x | 2023
 110x | Geschlecht
 109x | 2016
 104x | 2013
 100x | 2011
 100x | 2014
  98x | 2010
  97x | 2012
  90x | 2024
  85x | 2009
  83x | 2005
  83x | 2008
  78x | 2006
  78x | 2007
  77x | Unnamed: 1
  76x | attributes.OBJECTID
  74x | Unnamed: 2
  72x | 2003
  71x | 2004
  68x | 2002
  67x | 2001
  56x | geometry.x
  56x | geometry.y
  55x | Unnamed: 3
  52x | Unnamed: 4
  51x | attributes.ID
  50x | Gebiet
  47x | Anzahl Haushalte
  46x | Sachmerkmal
  38x | Staatsangehörigkeit-1 Deutsche / Ausländer
  37x | Unnamed: 5
  37x | attributes.Stichtag
  36x | 2000
  35x | Unnamed: 6
  33x | attributes.SHAPE__Length
  33x | geometry.rings
  32x | attributes.BRW
  32x | attributes.SHAPE__Area
  31x | id
  30x | Titel
  29x | Unnamed: 7
  29x | Kapitel
  28x | Wanderungsgebiet
  28x | Stadtbezirk/Ortschaft
  28x | attributes.Jahr
  27x | Fortzug / Zuzug
  27x | Wanderungstyp
  27x | Funktion
  25x | Geborene
  24x | Migrationshintergrund M2 (aggregiert)
  24x | Datum
  23x | Anzahl
  23x | Kinderanzahl im Haushalt in Klassen (4)
  23x | Kinderanzahl im Haushalt (sum)
  22x | Quartal
  22x | datum
  22x | wahl
  22x | gebiet-name
  21x | Ortsteil
  20x | ags
  20x | 2025
  20x | attributes.PLZ
  20x | attributes.ORT
  19x | gebiet-nr
  19x | max-schnellmeldungen
  19x | anz-schnellmeldungen
  19x | A1
  19x | A2
  19x | A3
  19x | A
  19x | B
  19x | B1
  19x | C
  19x | D
  19x | Wahl
  19x | attributes.STRASSE
  18x | AltK_03A__-17-64-
  18x | type
  18x | 1.Qu. 2021
  18x | 2.Qu. 2021
  18x | 3.Qu. 2021
  18x | 4.Qu. 2021
  18x | 1.Qu. 2022
  18x | 2.Qu. 2022
  18x | 3.Qu. 2022
  18x | Unnamed: 8
  18x | attributes.BEZEICHNUNG
  18x | attributes.TELEFON
  17x | D1
  17x | D2
  17x | D3
  17x | D4
  17x | D5
  17x | D6
  17x | D7
  17x | D8
  17x | D9
  17x | D10
  17x | D11
  17x | D12
  17x | D13
  17x | D14
  17x | D15
  17x | D16
  17x | D17
  17x | D18
  17x | 1.Qu. 2016
  17x | 2.Qu. 2016
  17x | 3.Qu. 2016
  17x | 4.Qu. 2016
  17x | 1.Qu. 2017
  17x | 2.Qu. 2017
  17x | 3.Qu. 2017
  17x | 4.Qu. 2017
  17x | 1.Qu. 2018
  17x | 2.Qu. 2018
  17x | 3.Qu. 2018
  17x | 4.Qu. 2018
  17x | 1.Qu. 2019
  17x | 2.Qu. 2019
  17x | 3.Qu. 2019
  17x | 4.Qu. 2019
  17x | 2.Qu. 2020
  17x | 3.Qu. 2020
  17x | 4.Qu. 2020
  17x | 4.Qu. 2022
  17x | 1.Qu. 2023
  17x | 2.Qu. 2023
  17x | 3.Qu. 2023
  17x | 4.Qu. 2023
  17x | 1.Qu. 2024
  17x | 2.Qu. 2024
  17x | 3.Qu. 2024
  17x | 4.Qu. 2024
  17x | 1.Qu. 2025
  17x | 2.Qu. 2025
  17x | anzahl
  17x | vorname
  17x | geschlecht
  16x | 1.Qu. 2020
  16x | attributes.FID
  16x | attributes.WGFZ
  15x | E
  15x | Partei_ID_StatAmtLE
  15x | Parteiname_harmonisiert_v1_0
  15x | objectid
  15x | 1.Qu. 2007
  15x | 2.Qu. 2007
  15x | 3.Qu. 2007
  15x | 4.Qu. 2007
  15x | 1.Qu. 2008
  15x | 2.Qu. 2008
  15x | 3.Qu. 2008
  15x | 4.Qu. 2008
  15x | 1.Qu. 2009
  15x | 2.Qu. 2009
  15x | 3.Qu. 2009
  15x | 4.Qu. 2009
  15x | 1.Qu. 2010
  15x | 2.Qu. 2010
  15x | 3.Qu. 2010
  15x | 4.Qu. 2010
  15x | 1.Qu. 2011
  15x | 2.Qu. 2011
  15x | 3.Qu. 2011
  15x | 4.Qu. 2011
  15x | 1.Qu. 2012
  15x | 2.Qu. 2012
  15x | 3.Qu. 2012
  15x | 4.Qu. 2012
  15x | 1.Qu. 2013
  15x | 2.Qu. 2013
  15x | 3.Qu. 2013
  15x | 4.Qu. 2013
  15x | 1.Qu. 2014
  15x | 2.Qu. 2014
  15x | 3.Qu. 2014
  15x | 4.Qu. 2014
  15x | 1.Qu. 2015
  15x | 2.Qu. 2015
  15x | 3.Qu. 2015
  15x | 4.Qu. 2015
  15x | Beschreibung
  15x | Haushaltsjahr
  14x | Wahlbezirk
  14x | PLZ
  14x | Alter in Jahren bis 85 (über 85-Jährige werden Jahrgang 85 zugeordnet)
  14x | AltK_13IRB-2-5-9-14-17-24-29-44-59-64-74-84-
  14x | 1.Qu. 2003
  14x | 2.Qu. 2003
  14x | 3.Qu. 2003
  14x | 4.Qu. 2003
  14x | 1.Qu. 2004
  14x | 2.Qu. 2004
  14x | 3.Qu. 2004
  14x | 4.Qu. 2004
  14x | 1.Qu. 2005
  14x | 2.Qu. 2005
  14x | 3.Qu. 2005
  14x | 4.Qu. 2005
  14x | 1.Qu. 2006
  14x | 2.Qu. 2006
  14x | 3.Qu. 2006
  14x | 4.Qu. 2006
  14x | Datensatztitel
  14x | Datenstand
  14x | Unnamed: 9
  14x | Bereich
  14x | Titelbezeichnung
  14x | Bkz
  14x | Unterkonto
  14x | Kennbuchstabe
  14x | Ansatz
  14x | ResteVorjahre
  14x | Zugang/Abgang
  14x | Fortgeschriebenes Soll
  14x | Anordnungssoll
  14x | Festlegung
  14x | Gebildete Reste
  14x | Ist
  14x | attributes.TRAEGER
  14x | attributes.EMAIL
  13x | Haushalt-Größe-5
  13x | Gestorbene
  13x | Wohndauer in 6 Klassen
  13x | Wohndauer in Monaten
  13x | F
  13x | F1
  13x | F2
  13x | F3
  13x | F4
  13x | F5
  13x | F6
  13x | F7
  13x | F8
  13x | F9
  13x | F10
  13x | F11
  13x | F12
  13x | F13
  13x | F14
  13x | F15
  13x | F16
  13x | F17
  13x | F18
  13x | D19
  13x | D20
  13x | D21
  13x | D22
  13x | D23
  13x | D24
  13x | D25
  13x | D26
  13x | name
  13x | Typ
  13x | Tabellenüberschrift
  13x | Nummer und Erklärung Fußnote
  13x | Einzelplan
  13x | Zähler
  13x | Verfügungsbeschränkung
  13x | Verfügbares Soll
  13x | Verfügbare Mittel
  13x | attributes.KURZBEZEICHNUNG
  12x | Monat
  12x | Bezugsland (M03-MigraPro)-IRB_Zus-fassung 2020ff.
  12x | AltK_05D__-24-44-59-64-
  12x | Stimme
  12x | fme_tstamp
  12x | FID
  12x | Schulart
  12x | position
  12x | Bezirk
  12x | Unnamed: 12
  12x | Titelart
  12x | attributes.LEISTUNGEN
  12x | attributes.Nutzungsart
  12x | attributes.Geschossigkeit
  12x | attributes.Flaeche
  12x | attributes.Grundstueckstiefe
  12x | attributes.Bauweise
  12x | attributes.Satzung
  11x | geom
  11x | Unnamed: 0
  11x | Unnamed: 10
  11x | Unnamed: 11
  11x | Unnamed: 13
  11x | Bezeichnung
  11x | Bereichsbezeichnung
  11x | Einzelplanbezeichnung
  11x | Kapitelbezeichnung
  11x | Hauptgruppe
  11x | Hauptgruppenbezeichnung
  11x | Obergruppe
  11x | Obergruppenbezeichnung
  11x | Gruppe
  11x | Gruppenbezeichnung
  11x | Hauptfunktion
  11x | Hauptfunktionsbezeichnung
  11x | Oberfunktion
  11x | Oberfunktionsbezeichnung
  11x | oparlVersion
  11x | license
  11x | body
  11x | contactName
  11x | contactEmail
  11x | website
  11x | vendor
  11x | product
  11x | attributes.FAX
  10x | Familienstand
  10x | Altersgruppe
  10x | Geburtsjahr
  10x | Aggregationsebene
  10x | Wahlkreis
  10x | Wahlkreis_Name
  10x | Ortsteil_Name
  10x | Stimme_partei
  10x | Stimme_text
  10x | 3.Qu. 2025
  10x | -
  10x | Adresse
  10x | Funktionsbezeichnung
   9x | Insgesamt
   9x | F19
   9x | F20
   9x | F21
   9x | F22
   9x | F23
   9x | F24
   9x | F25
   9x | F26
   9x | Ort
   9x | Kennzahl
   9x | D27
   9x | Bezeichnung Registerkarte
   9x | Unnamed: 14
   9x | attributes.SATZUNG
   9x | attributes.FLAECHE
   9x | attributes.Wert
   9x | attributes.Typ
   9x | attributes.Baujahr
   9x | attributes.Marktrichtwert
   9x | attributes.Teilmarkt
   8x | Anzahl Betriebe
   8x | Anzahl Niederlassungen
   8x | Merkmal
   8x | 2010/11
   8x | 2011/12
   8x | 2012/13
   8x | 2013/14
   8x | 2014/15
   8x | 2015/16
   8x | 2016/17
   8x | 2017/18
   8x | 2019/20
   8x | 2020/21
   8x | 2021/22
   8x | 2022/23
   8x | lat
   8x | plz
   8x | Vorname
   8x | strname
   8x | Hausnummer
   8x | Unnamed: 15
   8x | Unnamed: 16
   7x | Straßenname
   7x | geometry.type
   7x | geometry.coordinates
   7x | 2009/10
   7x | 2018/19
   7x | ID
   7x | Rang
   7x | pflanzjahr
   7x | bezirk
   7x | 
   7x | attributes.STATUS
   7x | attributes.STICHTAG
   6x | Wahl-Form
   6x | Wahlberechtigte
   6x | Wahlberechtigte mit WS
   6x | Wähler
   6x | Wähler mit WS
   6x | Stimmen gültig
   6x | Stimmen CDU
   6x | Stimmen SPD
   6x | Stimmen Die Linke
   6x | Stimmen Grüne
   6x | Stimmen FDP
   6x | Stimmen Rechte Parteien
   6x | Stimmen AfD
   6x | Stimmen Piraten
   6x | Stimmen sonstiger Parteien
   6x | Stimmen ungültig
   6x | Brutto-Entgelte (in 1000 EUR)
   6x | Gesamtumsatz (in 1000 EUR)
   6x | Beschäftigtengrößenklassen_4
   6x | AltK_12A__-2-5-9-14-17-24-29-44-59-64-74-
   6x | WZ-Abteilung 2008 (2 Ziffern)
   6x | Name
   6x | 2004/05
   6x | 2005/06
   6x | 2006/07
   6x | 2007/08
   6x | 2008/09
   6x | GmlId
   6x | Shape
   6x | lng
   6x | null
   6x | attributes.STRSCHL
   6x | attributes.TYP
   5x | Straßenschlüssel
   5x | SV-pflichtig Beschäftigte
   5x | Anmerkung
   5x | 2023/24
   5x | Partei
   5x | Stimmenanteil
   5x | Standort
   5x | F27
   5x | Name der Schule
   5x | artdtsch
   5x | artbot
   5x | gattungdeutsch
   5x | standalter
   5x | standortnr
   5x | wassermenge
   5x | wassersumme
   5x | anzahlg
   5x | adresse
   5x | Nr.
   5x | Bemerkungen
   5x | Einrichtung
   5x | internet
   5x | Schulname
   5x | BetragTyp
   5x | Betrag
   5x | Registerkarte
   5x | attributes.VNR
   5x | attributes.TITEL_VERFAHREN
   5x | attributes.RECHTSKRAFT
   5x | attributes.PLANZEICHNUNG
   5x | attributes.BEGRUENDUNG
   5x | attributes.URL
   4x | Statistischer Bezirk
   4x | Bundestagswahlkreis
   4x | Anteil in %
   4x | Geleistete Arbeitsstunden (gesamt in 1000h)
   4x | Tourismus_Ankünfte
   4x | Tourismus_Übernachtungen
   4x | Alter
   4x | Brutto-Entgelte je tätiger Person
   4x | Umsatzanteil Ausland am Gesamtumsatz (absolut; in 1000 EUR)
   4x | Gesamtumsatz je tätiger Person
   4x | Wahlbeteiligung_skaliert
   4x | 2001/02
   4x | 2002/03
   4x | 2003/04
   4x | 2024/25
   4x | 31.12.2009
   4x | 31.03.2013
   4x | 30.06.2013
   4x | 30.09.2013
   4x | 31.12.2013
   4x | 31.03.2014
   4x | 30.06.2014
   4x | 30.09.2014
   4x | 31.12.2014
   4x | 31.03.2015
   4x | 30.06.2015
   4x | 30.09.2015
   4x | 31.12.2015
   4x | 31.03.2016
   4x | 30.06.2016
   4x | 30.09.2016
   4x | 31.12.2016
   4x | 31.03.2017
   4x | 30.06.2017
   4x | 30.09.2017
   4x | 31.12.2017
   4x | 31.03.2018
   4x | 30.06.2018
   4x | 30.09.2018
   4x | 31.12.2018
   4x | 31.03.2019
   4x | 30.06.2019
   4x | 30.09.2019
   4x | 31.12.2019
   4x | 31.03.2020
   4x | 30.06.2020
   4x | 30.09.2020
   4x | 31.12.2020
   4x | 31.03.2021
   4x | 30.06.2021
   4x | 30.09.2021
   4x | 31.12.2021
   4x | 31.03.2022
   4x | 30.06.2022
   4x | 30.09.2022
   4x | 31.12.2022
   4x | 31.03.2023
   4x | 30.06.2023
   4x | 30.09.2023
   4x | 31.12.2023
   4x | 31.03.2024
   4x | 30.06.2024
   4x | 30.09.2024
   4x | 31.12.2024
   4x | 31.03.2025
   4x | 12.06.1994
   4x | 13.06.1999
   4x | 13.06.2004
   4x | 07.06.2009
   4x | 25.05.2014
   4x | 26.05.2019
   4x | 09.06.2024
   4x | Haltestelle
   4x | D28
   4x | D29
   4x | D30
   4x | D31
   4x | D32
   4x | D33
   4x | D34
   4x | Schul_Id
   4x | Stala_Id
   4x | Strasse
   4x | Straße
   4x | unternehmen
   4x | nominalkapital
   4x | anteil
   4x | bilanzsumme
   4x | eigenkapital
   4x | umsatz
   4x | jahresergebnis
   4x | zufuehrungen
   4x | investitionen
   4x | beschaeftigte
   4x | anschrift
   4x | logo
   4x | geschaeftsfuehrung
   4x | kontrollgremienvorsitz
   4x | Schüler (w/m/d)
   4x | GESIx_2013
   4x | GESIx_2022
   4x | ESIx_2013
   4x | ESIx_2022
   4x | DI_2013
   4x | DI_2022
   4x | DII_2013
   4x | DII_2022
   4x | DIII_2013
   4x | DIII_2022
   4x | attributes.KATEGORIE
   4x | attributes.ART
   4x | attributes.ENTWURF_AUSLEGUNG
   4x | attributes.AUFSTELLUNG
   4x | attributes.HAUSBEZ
   4x | attributes.NUTZUNGSART
   4x | attributes.GESCHOSSIGKEIT
   4x | attributes.GRUNDSTUECKSTIEFE
   4x | attributes.BAUWEISE
   4x | attributes.JAHR
   3x | Landtagswahlkreis
   3x | Steuereinnahmen (netto)
   3x | Steuereinnahmen (brutto)
   3x | Grundsteuer A und B
   3x | Gewerbesteuer (brutto)
   3x | Sonstige Gemeindesteuern
   3x | Spielautomatensteuer
   3x | Hundesteuer
   3x | Zweitwohnungssteuer
   3x | Beherbergungssteuer
   3x | Gemeindeanteil an der Einkommenssteuer
   3x | Gewerbesteuerumlage
   3x | Gemeindeanteil Umsatzsteuer
   3x | Auftragseingang insgesamt (in 1000 EUR)
   3x | Betriebsart
   3x | Jahr-Prognose
   3x | Wirtschaftszweig 2-Steller
   3x | Männer
   3x | Frauen
   3x | Deutsche
   3x | Ausländer
   3x | Anzahl unter 25 Jahre
   3x | Anzahl 25 bis 34 Jahre
   3x | Anzahl 35 bis 44 Jahre
   3x | Anzahl 45 bis 54 Jahre
   3x | Anzahl über 55 Jahre
   3x | ohne Berufsausbildung
   3x | mit Berufsausbildung
   3x | mit akademischer Ausbildung
   3x | Hauptgruppen (WZ 08)
   3x | Grundmiete
   3x | Grundmiete - Whg mit Bad und IWC
   3x | Betriebskosten - kalt
   3x | Betriebskosten - warm
   3x | Item
   3x | Wahlbeteiligung
   3x | Anteil_Briefwähler
   3x | Briefwbz
   3x | properties.FID
   3x | stationname
   3x | count
   3x | 31.03.2005
   3x | 30.06.2005
   3x | 30.09.2005
   3x | 31.12.2005
   3x | 31.03.2006
   3x | 30.06.2006
   3x | 30.09.2006
   3x | 31.12.2006
   3x | 31.03.2007
   3x | 30.06.2007
   3x | 30.09.2007
   3x | 31.12.2007
   3x | 31.03.2008
   3x | 30.06.2008
   3x | 30.09.2008
   3x | 31.12.2008
   3x | 31.03.2009
   3x | 30.06.2009
   3x | 30.09.2009
   3x | 31.03.2010
   3x | 30.06.2010
   3x | 30.09.2010
   3x | 31.12.2010
   3x | 31.03.2011
   3x | 30.06.2011
   3x | 30.09.2011
   3x | 31.12.2011
   3x | 31.03.2012
   3x | 30.06.2012
   3x | 30.09.2012
   3x | 31.12.2012
   3x | 30.06.2025
   3x | Anzahl n
   3x | Betreiber
   3x | Wahlgang
   3x | wnum
   3x | gesl
   3x | gena
   3x | gasl
   3x | gabe
   3x | gema
   3x | ortst
   3x | brw
   3x | stag
   3x | brke
   3x | bedw
   3x | basbe
   3x | basma
   3x | bezug
   3x | entw
   3x | beit
   3x | nuta
   3x | ergnuta
   3x | bauw
   3x | gez
   3x | wgfz
   3x | grz
   3x | bmz
   3x | flae
   3x | gtie
   3x | gbrei
   3x | erve
   3x | verg
   3x | verf
   3x | yverg
   3x | xverg
   3x | bod
   3x | acza
   3x | grza
   3x | aufw
   3x | weer
   3x | koorwert
